"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"gw bikin acc ini bkn karena mau ngebokep tp cuma butuh tmpt buat bisa curhat aja tanpa org tau siapa gw sebenernya",FALSE,0,NA,"2020-04-15 08:35:18",FALSE,NA,"1250341919764307968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riddicullus",0,FALSE,FALSE,NA,NA
"RT @ibuibuyakult: eh btw mo curhat, jadi aku teh baru order jam kayu gini– niatnya mau ‘tester’ soalnya pengen ngasih kado ke seungyoun yan…",FALSE,0,NA,"2020-04-15 08:35:01",FALSE,NA,"1250341849245421568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eboniwatch",33,TRUE,FALSE,NA,NA
"RT @yodreamfess2: (dream) inget ga pas end konser ini?? kasian injunnya pasti nahan sakit+malu.
Sampe curhat ke mark tapi marknya malah nga…",FALSE,0,NA,"2020-04-15 08:34:53",FALSE,NA,"1250341815540019200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nariajungs",17,TRUE,FALSE,NA,NA
"Si anyiiiiing, kok gue jadi bijaq gini macem Mario Teguh wakakakakak. Alay mampos, temen yang punya masalah cinta malah gue yang curhat. 🤣 😭",FALSE,0,"Luugaass","2020-04-15 08:34:52",FALSE,"1250341805729570816","1250341811228250112","76902739","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Luugaass",0,FALSE,FALSE,NA,NA
"Duh mau curhat dong guys tp soal cinta. Tp gue jijik lah😭😭😭😭😭😭",FALSE,0,NA,"2020-04-15 08:34:33",FALSE,NA,"1250341732811603968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blackswan218",0,FALSE,FALSE,NA,NA
"@jichangnim Min gue mau curhat 😭",FALSE,0,"jichangnim","2020-04-15 08:34:32",FALSE,"1250341658467553280","1250341728105594880","1.077066618168e+18","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fromisejiwon",0,FALSE,FALSE,NA,NA
"@bintangemon @rafliakbaaaaar Curhat dong",FALSE,0,"bintangemon","2020-04-15 08:33:50",FALSE,"1250338127249432576","1250341550564855808","770128892","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PradiptaMarsa",0,FALSE,FALSE,NA,NA
"@subtanyarl Jangn males kea bunda, jangan suka melawan kea bunda, jadikan bunda ini teman curhat mu, jadikan bunda… https://t.co/eu3sS8THtq",FALSE,0,"subtanyarl","2020-04-15 08:33:28",TRUE,"1250320820527751168","1250341460181827584","1601089260","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SUN49MoonS",0,FALSE,FALSE,NA,NA
"@FebriRamanda Wkwk curhat mas😅",FALSE,0,"FebriRamanda","2020-04-15 08:33:28",FALSE,"1250320119730810880","1250341456729931776","749289168","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhytaMartIana",0,FALSE,FALSE,NA,NA
"@hilmycung_ YaAllah bener. Pengen curhat tp gamau lewat hp",FALSE,0,"hilmycung_","2020-04-15 08:32:52",FALSE,"1250305236129873920","1250341307307839488","700190581","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dinda_Himawari",0,FALSE,FALSE,NA,NA
